# Animation run summary
animation_type,AStar_animation
total_frames,1176
total_time_s,11.7600
success,True
num_collisions,561
num_replans,1220
path_length,282.4976
trajectory_image,animation_run_20260218_115730_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
7.5900,759,ellipse,obstacle indices [1]
7.6000,760,ellipse,obstacle indices [1]
7.6100,761,ellipse,obstacle indices [1]
7.6200,762,ellipse,obstacle indices [1]
7.6300,763,ellipse,obstacle indices [1]
7.6400,764,ellipse,obstacle indices [1]
7.6500,765,ellipse,obstacle indices [1]
7.6600,766,ellipse,obstacle indices [1]
7.6700,767,ellipse,obstacle indices [1]
7.6800,768,ellipse,obstacle indices [1]
7.6900,769,ellipse,obstacle indices [1]
7.7000,770,ellipse,obstacle indices [1]
7.7100,771,ellipse,obstacle indices [1]
7.7200,772,ellipse,obstacle indices [1]
7.7300,773,ellipse,obstacle indices [1]
7.7400,774,ellipse,obstacle indices [1]
7.7500,775,ellipse,obstacle indices [1]
7.7600,776,ellipse,obstacle indices [1]
7.7700,777,ellipse,obstacle indices [1]
7.7800,778,ellipse,obstacle indices [1]
7.7900,779,ellipse,obstacle indices [1]
7.8000,780,ellipse,obstacle indices [1]
7.8100,781,ellipse,obstacle indices [1]
7.8200,782,ellipse,obstacle indices [1]
7.8300,783,ellipse,obstacle indices [1]
7.8400,784,ellipse,obstacle indices [1]
7.8500,785,ellipse,obstacle indices [1]
7.8600,786,ellipse,obstacle indices [1]
7.8700,787,ellipse,obstacle indices [1]

"# Replans (time_s, frame, reason)"
time_s,frame,reason
0.0400,4,No path (segment blocked or collision)
0.8000,80,Periodic (80 frames)
1.3300,133,Segment blocked
1.3400,134,Segment blocked
1.3500,135,Segment blocked
1.3600,136,Segment blocked
1.3700,137,Segment blocked
1.3800,138,Segment blocked
1.3900,139,Segment blocked
1.4000,140,Segment blocked
1.4100,141,Segment blocked
1.4200,142,Segment blocked
1.4300,143,Segment blocked
1.4400,144,Segment blocked
1.4500,145,Segment blocked
1.4600,146,Segment blocked
1.4700,147,Segment blocked
1.4800,148,Segment blocked
1.4900,149,Segment blocked
1.5000,150,Segment blocked
1.5100,151,Segment blocked
1.5200,152,Segment blocked
1.5300,153,Segment blocked
1.5400,154,Segment blocked
1.5500,155,Segment blocked
1.5600,156,Segment blocked
1.5700,157,Segment blocked
1.5800,158,Segment blocked
1.5900,159,Segment blocked
1.6000,160,Segment blocked
